spot_name,index spot,weather,temperature,traffic_time,satisfaction
Ahuntsic,0,2,28.6,23.7,6.0
VanHorne,1,2,28.6,23.7,5.0
Verdun,2,2,28.6,23.7,3.0
Lasalle,3,2,28.6,23.7,6.0
Préfontaine,4,2,28.6,23.7,5.0
Boucherville,5,2,28.6,23.7,5.0
Taz,6,2,28.6,23.7,1.0
Spin,7,2,28.6,23.7,1.0
Saint Jérome,8,2,28.6,23.7,8.0
Saint Sauveur,9,2,28.6,23.7,7.0
Assomption,10,2,28.6,23.7,8.0
Benny,11,2,28.6,23.7,6.0
Dorval,12,2,28.6,23.7,6.0
Magog,13,2,28.6,23.7,6.0
Berthierville,14,2,28.6,23.7,9.0
Ahuntsic,0,3,24.5,33.5,5.0
VanHorne,1,3,24.5,33.5,2.0
Verdun,2,3,24.5,33.5,2.0
Lasalle,3,3,24.5,33.5,5.0
Préfontaine,4,3,24.5,33.5,4.0
Boucherville,5,3,24.5,33.5,4.0
Taz,6,3,24.5,33.5,1.0
Spin,7,3,24.5,33.5,1.0
Saint Jérome,8,3,24.5,33.5,8.0
Saint Sauveur,9,3,24.5,33.5,9.0
Assomption,10,3,24.5,33.5,8.0
Benny,11,3,24.5,33.5,5.0
Dorval,12,3,24.5,33.5,5.0
Magog,13,3,24.5,33.5,9.0
Berthierville,14,3,24.5,33.5,9.0
Ahuntsic,0,0,23.0,11.3,0.0
VanHorne,1,0,23.0,11.3,0.0
Verdun,2,0,23.0,11.3,0.0
Lasalle,3,0,23.0,11.3,0.0
Préfontaine,4,0,23.0,11.3,0.0
Boucherville,5,0,23.0,11.3,0.0
Taz,6,0,23.0,11.3,9.0
Spin,7,0,23.0,11.3,9.0
Saint Jérome,8,0,23.0,11.3,0.0
Saint Sauveur,9,0,23.0,11.3,0.0
Assomption,10,0,23.0,11.3,0.0
Benny,11,0,23.0,11.3,0.0
Dorval,12,0,23.0,11.3,0.0
Magog,13,0,23.0,11.3,0.0
Berthierville,14,0,23.0,11.3,0.0
Ahuntsic,0,0,25.7,5.0,0.0
VanHorne,1,0,25.7,5.0,0.0
Verdun,2,0,25.7,5.0,0.0
Lasalle,3,0,25.7,5.0,0.0
Préfontaine,4,0,25.7,5.0,0.0
Boucherville,5,0,25.7,5.0,0.0
Taz,6,0,25.7,5.0,7.0
Spin,7,0,25.7,5.0,6.0
Saint Jérome,8,0,25.7,5.0,0.0
Saint Sauveur,9,0,25.7,5.0,0.0
Assomption,10,0,25.7,5.0,0.0
Benny,11,0,25.7,5.0,0.0
Dorval,12,0,25.7,5.0,0.0
Magog,13,0,25.7,5.0,0.0
Berthierville,14,0,25.7,5.0,0.0
Ahuntsic,0,3,25.3,16.3,6.0
VanHorne,1,3,25.3,16.3,3.0
Verdun,2,3,25.3,16.3,2.0
Lasalle,3,3,25.3,16.3,5.0
Préfontaine,4,3,25.3,16.3,6.0
Boucherville,5,3,25.3,16.3,6.0
Taz,6,3,25.3,16.3,0.0
Spin,7,3,25.3,16.3,0.0
Saint Jérome,8,3,25.3,16.3,8.0
Saint Sauveur,9,3,25.3,16.3,9.0
Assomption,10,3,25.3,16.3,8.0
Benny,11,3,25.3,16.3,6.0
Dorval,12,3,25.3,16.3,6.0
Magog,13,3,25.3,16.3,9.0
Berthierville,14,3,25.3,16.3,9.0
Ahuntsic,0,1,18.6,38.8,6.0
VanHorne,1,1,18.6,38.8,7.0
Verdun,2,1,18.6,38.8,2.0
Lasalle,3,1,18.6,38.8,6.0
Préfontaine,4,1,18.6,38.8,8.0
Boucherville,5,1,18.6,38.8,8.0
Taz,6,1,18.6,38.8,6.0
Spin,7,1,18.6,38.8,6.0
Saint Jérome,8,1,18.6,38.8,2.0
Saint Sauveur,9,1,18.6,38.8,2.0
Assomption,10,1,18.6,38.8,2.0
Benny,11,1,18.6,38.8,6.0
Dorval,12,1,18.6,38.8,6.0
Magog,13,1,18.6,38.8,1.0
Berthierville,14,1,18.6,38.8,2.0
Ahuntsic,0,0,11.0,22.3,0.0
VanHorne,1,0,11.0,22.3,0.0
Verdun,2,0,11.0,22.3,0.0
Lasalle,3,0,11.0,22.3,0.0
Préfontaine,4,0,11.0,22.3,0.0
Boucherville,5,0,11.0,22.3,0.0
Taz,6,0,11.0,22.3,9.0
Spin,7,0,11.0,22.3,9.0
Saint Jérome,8,0,11.0,22.3,0.0
Saint Sauveur,9,0,11.0,22.3,0.0
Assomption,10,0,11.0,22.3,0.0
Benny,11,0,11.0,22.3,0.0
Dorval,12,0,11.0,22.3,0.0
Magog,13,0,11.0,22.3,0.0
Berthierville,14,0,11.0,22.3,0.0
Ahuntsic,0,1,28.6,26.4,7.0
VanHorne,1,1,28.6,26.4,8.0
Verdun,2,1,28.6,26.4,2.0
Lasalle,3,1,28.6,26.4,6.0
Préfontaine,4,1,28.6,26.4,8.0
Boucherville,5,1,28.6,26.4,8.0
Taz,6,1,28.6,26.4,2.0
Spin,7,1,28.6,26.4,2.0
Saint Jérome,8,1,28.6,26.4,2.0
Saint Sauveur,9,1,28.6,26.4,2.0
Assomption,10,1,28.6,26.4,2.0
Benny,11,1,28.6,26.4,7.0
Dorval,12,1,28.6,26.4,7.0
Magog,13,1,28.6,26.4,1.0
Berthierville,14,1,28.6,26.4,2.0
Ahuntsic,0,0,16.1,17.8,0.0
VanHorne,1,0,16.1,17.8,0.0
Verdun,2,0,16.1,17.8,0.0
Lasalle,3,0,16.1,17.8,0.0
Préfontaine,4,0,16.1,17.8,0.0
Boucherville,5,0,16.1,17.8,0.0
Taz,6,0,16.1,17.8,9.0
Spin,7,0,16.1,17.8,8.0
Saint Jérome,8,0,16.1,17.8,0.0
Saint Sauveur,9,0,16.1,17.8,0.0
Assomption,10,0,16.1,17.8,0.0
Benny,11,0,16.1,17.8,0.0
Dorval,12,0,16.1,17.8,0.0
Magog,13,0,16.1,17.8,0.0
Berthierville,14,0,16.1,17.8,0.0
Ahuntsic,0,3,35.1,42.9,5.0
VanHorne,1,3,35.1,42.9,2.0
Verdun,2,3,35.1,42.9,2.0
Lasalle,3,3,35.1,42.9,5.0
Préfontaine,4,3,35.1,42.9,3.0
Boucherville,5,3,35.1,42.9,3.0
Taz,6,3,35.1,42.9,1.0
Spin,7,3,35.1,42.9,1.0
Saint Jérome,8,3,35.1,42.9,7.0
Saint Sauveur,9,3,35.1,42.9,8.0
Assomption,10,3,35.1,42.9,7.0
Benny,11,3,35.1,42.9,4.0
Dorval,12,3,35.1,42.9,4.0
Magog,13,3,35.1,42.9,9.0
Berthierville,14,3,35.1,42.9,9.0
Ahuntsic,0,0,20.0,17.9,0.0
VanHorne,1,0,20.0,17.9,0.0
Verdun,2,0,20.0,17.9,0.0
Lasalle,3,0,20.0,17.9,0.0
Préfontaine,4,0,20.0,17.9,0.0
Boucherville,5,0,20.0,17.9,0.0
Taz,6,0,20.0,17.9,8.0
Spin,7,0,20.0,17.9,8.0
Saint Jérome,8,0,20.0,17.9,0.0
Saint Sauveur,9,0,20.0,17.9,0.0
Assomption,10,0,20.0,17.9,0.0
Benny,11,0,20.0,17.9,0.0
Dorval,12,0,20.0,17.9,0.0
Magog,13,0,20.0,17.9,0.0
Berthierville,14,0,20.0,17.9,0.0
Ahuntsic,0,0,27.4,20.8,0.0
VanHorne,1,0,27.4,20.8,0.0
Verdun,2,0,27.4,20.8,0.0
Lasalle,3,0,27.4,20.8,0.0
Préfontaine,4,0,27.4,20.8,0.0
Boucherville,5,0,27.4,20.8,0.0
Taz,6,0,27.4,20.8,7.0
Spin,7,0,27.4,20.8,7.0
Saint Jérome,8,0,27.4,20.8,0.0
Saint Sauveur,9,0,27.4,20.8,0.0
Assomption,10,0,27.4,20.8,0.0
Benny,11,0,27.4,20.8,0.0
Dorval,12,0,27.4,20.8,0.0
Magog,13,0,27.4,20.8,0.0
Berthierville,14,0,27.4,20.8,0.0
Ahuntsic,0,0,17.0,18.7,0.0
VanHorne,1,0,17.0,18.7,0.0
Verdun,2,0,17.0,18.7,0.0
Lasalle,3,0,17.0,18.7,0.0
Préfontaine,4,0,17.0,18.7,0.0
Boucherville,5,0,17.0,18.7,0.0
Taz,6,0,17.0,18.7,8.0
Spin,7,0,17.0,18.7,7.0
Saint Jérome,8,0,17.0,18.7,0.0
Saint Sauveur,9,0,17.0,18.7,0.0
Assomption,10,0,17.0,18.7,0.0
Benny,11,0,17.0,18.7,0.0
Dorval,12,0,17.0,18.7,0.0
Magog,13,0,17.0,18.7,0.0
Berthierville,14,0,17.0,18.7,0.0
Ahuntsic,0,3,23.0,17.8,6.0
VanHorne,1,3,23.0,17.8,3.0
Verdun,2,3,23.0,17.8,2.0
Lasalle,3,3,23.0,17.8,6.0
Préfontaine,4,3,23.0,17.8,5.0
Boucherville,5,3,23.0,17.8,5.0
Taz,6,3,23.0,17.8,1.0
Spin,7,3,23.0,17.8,1.0
Saint Jérome,8,3,23.0,17.8,8.0
Saint Sauveur,9,3,23.0,17.8,9.0
Assomption,10,3,23.0,17.8,8.0
Benny,11,3,23.0,17.8,6.0
Dorval,12,3,23.0,17.8,6.0
Magog,13,3,23.0,17.8,9.0
Berthierville,14,3,23.0,17.8,9.0
Ahuntsic,0,2,25.9,10.8,8.0
VanHorne,1,2,25.9,10.8,4.0
Verdun,2,2,25.9,10.8,2.0
Lasalle,3,2,25.9,10.8,8.0
Préfontaine,4,2,25.9,10.8,8.0
Boucherville,5,2,25.9,10.8,8.0
Taz,6,2,25.9,10.8,1.0
Spin,7,2,25.9,10.8,1.0
Saint Jérome,8,2,25.9,10.8,7.0
Saint Sauveur,9,2,25.9,10.8,6.0
Assomption,10,2,25.9,10.8,7.0
Benny,11,2,25.9,10.8,8.0
Dorval,12,2,25.9,10.8,8.0
Magog,13,2,25.9,10.8,6.0
Berthierville,14,2,25.9,10.8,7.0
Ahuntsic,0,3,18.1,19.7,6.0
VanHorne,1,3,18.1,19.7,3.0
Verdun,2,3,18.1,19.7,3.0
Lasalle,3,3,18.1,19.7,6.0
Préfontaine,4,3,18.1,19.7,5.0
Boucherville,5,3,18.1,19.7,5.0
Taz,6,3,18.1,19.7,1.0
Spin,7,3,18.1,19.7,1.0
Saint Jérome,8,3,18.1,19.7,7.0
Saint Sauveur,9,3,18.1,19.7,8.0
Assomption,10,3,18.1,19.7,7.0
Benny,11,3,18.1,19.7,6.0
Dorval,12,3,18.1,19.7,6.0
Magog,13,3,18.1,19.7,9.0
Berthierville,14,3,18.1,19.7,9.0
Ahuntsic,0,1,22.8,24.5,8.0
VanHorne,1,1,22.8,24.5,8.0
